ID;Name;Address_Street;Address_City;Address_State;Address_PostalCode;Address_Country;Email;Phone;Fax
e3ec880a-a01f-4ebb-88f3-94587c85bdf7;Name8439;Address_Street7560;Address_City9385;Jx;A6428;g6y;Email2187;Phone4434;Fax6907
7bb57ccb-c7f9-4796-bff1-338386d3f1af;Name9318;Address_Street7438;Address_City8849;T3;A4420;h2P;Email3617;Phone3155;Fax5080
70ce2e52-f2d5-45b1-a8f9-6d61bb26a850;Name5487;Address_Street8633;Address_City3882;cO;A739;QBw;Email5815;Phone2430;Fax7742
45b27b65-8a59-4742-a0eb-742c9ac21f35;Name2195;Address_Street3780;Address_City5900;Mz;A4371;eoE;Email2131;Phone6942;Fax9911
6be9bc9e-25cf-4144-a84d-8eff9bc188fe;Name6742;Address_Street5932;Address_City8057;Cw;A5861;dcT;Email6267;Phone6074;Fax6039
523ff9be-edec-4068-82bd-0c2b4876b09c;Name9582;Address_Street1626;Address_City7809;EQ;A8844;5ey;Email5276;Phone6281;Fax5455
78212aac-9ccb-4b3a-b839-16ebac493d06;Name1837;Address_Street9520;Address_City2021;ex;A8907;NL1;Email4655;Phone1819;Fax3326
a7eff21f-bf55-4bf7-94a5-0fa2413dec55;Name1881;Address_Street5277;Address_City3413;05;A4951;nC5;Email8784;Phone6917;Fax2399
9639a2ef-2c24-4cfc-8ba6-e530b5099a05;Name1081;Address_Street1579;Address_City2543;B8;A4563;cKO;Email6960;Phone6417;Fax6957
0690df0c-1b04-4c4e-8272-a1e23d75ecc3;Name320;Address_Street2491;Address_City3246;1x;A5959;xIu;Email1722;Phone7089;Fax9395
4b526659-ec7b-4603-8de5-e9b1ae6960c4;Name2171;Address_Street8559;Address_City1021;EX;A4372;GRW;Email3884;Phone3436;Fax6239
18457598-8afb-430d-8633-c2d07a0f0d87;Name3013;Address_Street4752;Address_City3992;za;A2439;0PG;Email9167;Phone7477;Fax3105
c5775dd1-1735-42e5-a85a-f441e6f396b8;Name5823;Address_Street5415;Address_City4097;30;A2459;spg;Email8398;Phone1521;Fax8908
ae910a29-40a6-429d-b39c-71e31d6c7940;Name102;Address_Street6231;Address_City7464;HV;A5480;mkv;Email8216;Phone2233;Fax7599
